,bak,en
0,Арыш оно.,Rye flour.
1,Баҙарҙан ике тоҡ он һатып алдым.,I bought two sacks of flour at the marketplace.
2,"Табаҡҡа биш йомортҡа һытығыҙ, ондо ҡушып болғағыҙ.","Crack five eggs into the bowl, add flour and stir."
3,Ҡул арбаһы.,Hand cart.
4,"Көҙөн Сания бар донъяһын арбаға тейәп, күрше ауылға күсеп китте.","In the autumn, Saniya loaded all her belongings on a cart and moved to the nearby village."
5,Арыу ғына арба эләктергәнһең икән.,Thats a cool car you got yourself there.
6,Украинаға хакер һөжүмдәре.,Hacker attacks on Ukraine.
7,Симешкә майы.,Sunflower seed oil.
8,Балыҡ майы.,fish oil.
9,Мәҙәк итеп ҡарап торҙом кескәй генә ҡырмыҫҡаға: йөк кутәреп сығып бара Азиянан Европаға.,"With amusement I watched a small ant: lifting a load, its crossing from Asia to Europe.|q=[[:w:Mustai Karim|Mustai Karim]]"
10,"Һеҙ хазинаны күктә йыйығыҙ: унда көйә лә ҡырҡмай, тут та баҫмай, ҡараҡтар ҙа инеп урламай.","Collect treasure in the sky: there, moth does not cut, rust does not corrupt, and thieves do not enter and steal.|q=Matthew 6:19"
11,Боронғо Греция.,Ancient Greece.
12,"Ваҡытында түләй алмаһалар, Грецияла дефолт булыуы ихтимал.","If they cannot pay in time, there may be a default in Greece (=Greece may default)."
13,"Иртәгә, туғыҙынсы ғинуарҙа, республикала яуым-төшөм көтөлмәй.","Tomorrow, on the ninth of January, no precipitation is expected in the republic (of Bashkortostan).|q=from a radio weather forecast."
14,Тарихи йәһәттән Австралия — күсеп килгән кешеләр иле.,"Historically, Australia is the country of immigrants."
15,Мәҙәк итеп ҡарап торҙом кескәй генә ҡырмыҫҡаға: йөк кутәреп сығып бара Азиянан Европаға.,"With amusement I watched a small ant: lifting a load, its crossing from Asia to Europe.|q=[[:w:Mustai Karim|Mustai Karim]]"
16,Андорраның үҙ аҡса берәмеге бер ҡасан да булғаны юҡ.,Andorra has never had its own monetary unit.
18,Был осорҙа АҠШ Япония менән мөнәсәбәтен нығытыуға баҫым яһай ине.,"During this period, the USA placed emphasis on strengthening its relationship with Japan."
19,"1938 йылда Мөхәммәт Ҡорбанғәлиев Токиола ""Исламиә"" мәсетен асып, Японияның тәүге мөфтийе була.","In 1938, [[:w:Muhammed-Gabdulkhay Kurbangaliev|Muhammed Kurbangaliev]] opened the mosque ""Islamiya"" in Tokyo and became Japan’s first Mufti."
21,Америка Ҡушма Штаттары.,The United States of America.
22,"Айдахо штатының ҡушаматы — ""аҫыл таш штат"".","The nickname of the state of Idaho is the ""Gem State""."
23,Автобус хәрәкәте.,Bus traffic.
24,Автобус туҡталышы.,Bus stop.
25,Яңы автобустар газ двигателендә эшләй.,The new buses work on natural gas engines.
26,"Беҙ ингәндә автобус буш ине, өс-дүрт туҡталыштан халыҡ тулып китте.","When we entered, the bus was empty; after three (or) four stops,  it became full of people."
27,Хаттың тышында адресын күреү менән атайымдың ҡулын таныным.,"As soon as I saw the address on the envelope, I recognized my fathers handwriting."
28,Сәскә балы.,Flower honey.
29,"Йүкә балы тәмле, хуш еҫле, ҙур дауалау көсөнә эйә.","Linden honey is palatable, has a pleasant smell (and) great medicinal properties."
30,Башҡорт балына һорау йылдан-йыл арта бара.,The demand for Bashkir honey has been growing year after year.
31,Ҡурсаҡ театры.,Puppet theater.
32,"Театрҙан китәм, тиһәм дә, актёрлыҡтан китеү уйымда юҡ ине.","Although I decided to leave the theater, I was not planning to quit being an actor."
33,"Уйлаймын, тимәк мин бармын.","(I) think, therefore I exist."
34,Биш минут ҡына ваҡытым бар.,I have only five minutes of time.
35,Ауылда биш сутый ере бар.,((S)he) has 5 ares of land in the village.
36,Ҡаҙағстанда ла аҙаш ауыл бар икән.,"As it happens, there is a village of the same name in Kazakhstan as well."
37,Рәсәйҙә ауыл хужалығының киләсәге бармы?,Is there a future for agriculture in Russia?
38," ""Ни сәсһәң - шуны урырһың"", тигән тапҡыр әйтем бар.","There is a  shrewd adage which says ""What you sow is what you will reap""."
40,"Ул бик ҡиммәтле матур ынйы тапҡас, ҡайтып бар мөлкәтен һатҡан да, шул ынйыны алған.","When he found a very valuable, beautiful pearl, (he) went home, sold all his belongings and bought that pearl.|q=Matthew 13:46"
41,Бар мәғлүмәт тере шаһиттар ауыҙынан яҙып алынған.,All information has been recorded from the mouths of living witnesses.
42,Бар көсөмдө башҡорт Википедияһына һалам.,I put my every effort into the Bashkir Wikipedia.
43,Үҙ яҙмаһы бар халыҡ.,A people that has its own literary tradition.
44,"Шаршау асылмаҫ элек сәхнәгә Актёр сыға, ҡулында телефон.","Before the curtain opens, the Actor goes on stage,  a telephone in his hand."
45,Төрлө рәүешкә инә белеү — актёрҙың төп һөнәре.,To be able to act in different images is an actors main skill.
48,Һөргөндәге Тибет хөкүмәте.,The Tibet government in exile.
49,Исламда ғәйбәт таратыу — хәрәм ғәмәл.,"In Islam, spreading gossips/rumors is a taboo activity."
50,Х быуаттан башҡорттар мөхитенә Ислам дине үтеп инә башлай.,"From with the tenth century, the religion of Islam starts to penetrate into the Bashkirs environment."
51,"Йылъяҙма һөйләүенсә, 1124-се йылда Киев ике көн яна, 600 сиркәү юҡҡа сыға.","As a chronicle narrates, in the year of 1124 Kiev was on fire for two days, 600 churches were destroyed."
52,Минең телевизор ҡарарға ваҡытым юҡ.,I dont have time to watch TV.
53,"Батыр яуҙан ҡайтмаһа, даны ҡайтыр иленә.","If a hero does not return from war, his good name will return to his homeland."
54,"Яҡшыларҙан зат ҡалыр, батырҙарҙан дан ҡалыр.","From the good (people), descendants will remain; from heroes, fame will stay."
56,Бар көсөмдө башҡорт Википедияһына һалам.,I put my every effort into the Bashkir Wikipedia.
57,Башҡорт Википедияһы ирекмәндәре Европа вики-яҙында ҡатнаша.,The volunteers of the Bashkir Wikipedia participate in Europes Wiki-Spring (contest).
58,Википедиялағы һымаҡ һәр кем үҙ өлөшөн индерә ала.,"Like in Wikipedia, everyone can contribute."
59,"Һәр Интернет ҡулланыусыһы Википедияға — мәҫәлән, яңы мәҡәлә яҙып йәки булғандарын төҙәтеп — үҙ өлөшөн индерә ала.","Every Internet user can make their contribution to Wikipedia — for example, by writing a new article or by editing the existing ones."
61,"Шаршау асылмаҫ элек сәхнәгә Актёр сыға, ҡулында телефон.","Before the curtain opens, the Actor goes on stage, (with) a telephone in his hand."
62,Әсәйем журналдарға ҡышҡыға ғына яҙыла.,My mother subscribes to magazines only for the winter time.
63,Уны ҡышын класташ малайҙар менән журналдың һәр һаны теткеләнгәнсе уҡый инек.,"In the winters, we read it (together) with classmate boys until (we) tore each issue of the journal into pieces."
64,Йәнле Журнал.,Livejournal.
65,Биш минут ҡына ваҡытым бар.,I have only five minutes of time.
66,Дәрес башланыуға бер нисә минут ваҡыт бар ине әле.,There was still a few minutes time before the lesson started.
67,"Минутына йөҙ аҙым атлау – идеаль физик көсөргәнеш формулаһы, ти Америка ғалимдары.","Walking a hundred steps per minute is the formula of an ideal physical exercise, US scientists say."
68,Өфөләр һынатманы — ҡунаҡтарҙың ҡапҡаһына туп тәүге тапҡыр туғыҙынсы минутта уҡ эләкте.,The Ufa team did not give way: the football first landed in the visiting teams gate already at the ninth minute.
69,Ел көньяҡтан секундына 3-4 метр тиҙлектә иҫәсәк.,"The wind will blow from the south, at the speed of 3-4 meters per second."
70,"Уйлаймын, тимәк мин бармын.","(I) think, therefore I am."
71,Мин һине яратам.,I love you.
72,Быйыл мин өс гәзиткә яҙылғам.,"This year, Ive subscribed to three newspapers."
73,"Тора алмайым мин уның менән, күңелем уға ятмай.","I cannot live with him, (I) dont like him (hes not my type)."
74,"Был һыуҙы эскән һәр кем йәнә һыуһар, ә Мин биргән һыуҙы эскән кеше бер ҡасан да һыуһамаҫ.","Everyone who drinks this water will again get thirsty, but the person who drinks the water I give will never get thirsty.|q=John 4:13-14."
75,"Бер йәшниктә – 16, икенсеһендә 14 кг кәнфит бар. Өсөнсө йәшниктә беренсе һәм икенсе йәшниктә күпме булһа, шунса кәнфит.","There are 16 (kg of candies) in one box (and) 14 kg in the second. In the third box, there are as many candies as there are in the first and in the second box. "
76,Сей утын насар яна.,Damp firewood wont burn well.
77,Сей бесән.,Damp hay.
78,Самолёт юлы.,Vapor trail.
79,Сухой Суперджет-100 — йөҙ урынлыҡ реактив самолёт.,Sukhoi Superjet 100 is a jet plane with 100 (passenger) seats.
80,Ул заманда самолёт хаҡы осһоҙ булды.,"At that time, the airfare was cheap."
81,Артҡы партала ултырған Самат һиҙҙермәй генә дәфтәренән бер бит йыртып алды ла самолёт яһаны.,"Samat, who was sitting at the back school-desk, surreptitiously tore a page out of his notebook and made a (paper) plane."
84,"Магазинда бөтөн әйбер бар ине, хаҡтары осһоҙ ине.","All (types of) goods were available in the shops, and the prices were cheap."
85,"Әгәр беренсе килешеүҙең етешһеҙлектәре булмаһа, икенсеһен төҙөүгә ихтыяж тыумаҫ ине.","If there were no disadvantages of the first covenant, the need would not have arisen for making the second one.|q=Hebrews 8:7"
86,Ул ваҡытта Яхъя төрмәгә ябылмағайны әле.,"At that time, John was not yet put in prison.|q=John 3:24"
87,Ултырам әле.,I will sit a little bit more.
89,"Егеттәр, һаҡланығыҙ наҙан дуҫтан ― наҙан дуҫ бер айҙаң һуң булыр дошман.","Guys, beware of an ignorant friend ― in a months time, an ignorant friend will become an enemy.|q=Aqmulla"
93,Ватанды һаҡлау - һәр егеттең изге бурысы.,To defend the homeland is the sacred duty of every young man.
94,Бөйөк Ватан һуғышы.,The [[:w:Great Patriotic War (term)|Great Patriotic war]] (of 1941-45).
95,Ватаныбыҙ күге аяҙ булһын!,May the sky of our motherland be clear!
96,"Ихтилалсылар килешеү төҙөргә мәжбүр була, уларҙың вәкилдәрен аманатҡа алғандар.","The rebels were forced to make an agreement, their representatives were taken hostage."
98,"Ҡасандыр туйҙар, киске уйындар гармунһыҙ үтмәгән.","Some time ago, weddings, evening get-togethers did no pass without a garmon."
99,Күрәсәген күрмәй әҙәм гүргә инмәй.,A human will not enter grave before he has seen what he is destined to see.
100,Дала үҫемлектәре.,Steppe / prairie plants.
101,"Әсә күңеле — балала, бала күңеле — далала.","The mothers soul is in (her) child, the childs soul is in the steppe."
102,Алыҫ ҡаҙаҡ далаһында үткән һинең көндәрең.,Your days have passed in the remote [[Kazakh]] steppe.
103,Дарыңды ҡоро тот.,Keep your gunpowder dry.
104,Кисәге дуҫ бөгөн дошман булды.,Yesterdays friend today has turned enemy.
105,Алйот дуҫтан аҡыллы дошман артыҡ.,An intelligent enemy is better than a stupid friend.
106,"Балалар, һеҙгә дәрес оҡшанымы?","Children, did you like the lesson?"
107,Дәрес аҙағында уҡытыусы әүҙем ҡатнашҡан балаларға рәхмәтен белдерҙе.,"At the end of the lesson, the teacher expressed his gratitude to the children who have participated actively."
108,Тоталитар дәүләт.,A totalitarian state.
109,Ватансы булыу өсөн дәүләт кәрәк.,There needs to be a state (for you to be) a patriot.
110,Дәүләт теле.,"State language, official language."
